WithdrawalHistory(WH),RepeatHistory(RH),MaritalStatus(MS),Gender(GND),Age,District(DSRCT),Religion(RLGN),StudentType(ST),ProgrammeCode(PC),EmploymentStatus(ES),ODLCenter(OC),DisabilityIndicator(DI),Vulnarability(VNBLT),IncomeSource(IS),CurrentResidence(CR),Target
No,No,,F,24,RUMPHI,,GENERIC,BAGI,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,,F,24,DOWA,,GENERIC,BEXT,Not Employed,,,,,,Not Dropped
No,No,,F,40,NTCHEU,,GENERIC,BEXT,Not Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,,F,23,KASUNGU,,GENERIC,BEXT,Not Employed,,,,,,Not Dropped
No,No,,F,29,NTCHEU,,GENERIC,BEXT,Not Employed,,,,,,Dropped
No,No,,F,22,LILONGWE,,GENERIC,BEXT,Not Employed,,,,,,Not Dropped
No,No,,F,22,KASUNGU,,GENERIC,BEXT,Not Employed,,,,,,Not Dropped
No,No,,F,24,RUMPHI,,GENERIC,BEXT,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,,F,22,KASUNGU,,GENERIC,BEXT,Not Employed,,,,,,Not Dropped
No,No,,F,22,MANGOCHI,,GENERIC,BEXT,Not Employed,,,,,,Not Dropped
No,No,,F,27,MZIMBA,,MATURE,BAAE,Not Employed,,,,,,Not Dropped
No,No,,F,31,MZIMBA,,MATURE,BAAE,Not Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,,F,25,CHITIPA,,MATURE,BABM,Not Employed,,,,,,Not Dropped
No,No,,F,34,MZIMBA,,MATURE,BABM,Not Employed,,No disability,"Qualified primary school teachers, teaching at CDSS",self,I stay around the centre,Not Dropped
No,No,,F,26,BLANTYRE,,MATURE,BABM,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,,F,34,KASUNGU,,MATURE,BABM,Not Employed,,,,,,Not Dropped
No,No,,F,32,MZIMBA,,MATURE,BAGI,Not Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,,F,25,LILONGWE,,MATURE,BAGI,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,,F,26,RUMPHI,,MATURE,BAGI,Not Employed,,,,,,Not Dropped
No,No,,F,25,RUMPHI,,MATURE,BAGI,Not Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,,F,27,MZIMBA,,MATURE,BEXT,Not Employed,,Blind/Visual Impairment,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,,F,24,KARONGA,,GENERIC,BAAE,Self,,,,,,Not Dropped
No,No,,F,23,MZIMBA,,GENERIC,BEXT,Self,,No disability,Orphans,parents/Gurdian,I stay around the centre,Not Dropped
No,No,,F,32,THYOLO,,GENERIC,BEXT,Self,,No disability,Orphans,parents/Gurdian,I stay within same district,Not Dropped
No,No,,F,22,BLANTYRE,,GENERIC,BEXT,Self,,,,,,Not Dropped
No,No,,F,21,DEDZA,,GENERIC,BEXT,Self,,,,,,Not Dropped
No,No,,F,34,MULANJE,,MATURE,BAAE,Self,,,,,,Not Dropped
No,No,,F,26,RUMPHI,,MATURE,BABM,Self,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,,F,25,KARONGA,,MATURE,BEXT,Self,,,,,,Not Dropped
No,No,,F,24,DEDZA,,MATURE,BEXT,Self,,,,,,Not Dropped
No,No,,F,31,LILONGWE,,MATURE,BEXT,Self,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Mzimba,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Rumphi,,GENERIC,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Nsanje,,GENERIC,BAAE,Employed,,No disability,Orphans,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,CHILADZULU,,GENERIC,BAAE,Employed,,No disability,"Qualified primary school teachers, teaching at CDSS",self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Thyolo,,GENERIC,BEXT,Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Ntchisi,,GENERIC,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Kasungu,,GENERIC,BAGI,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,,0,Mzimba,,MATURE,BABM,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,,0,Ntchisi,,MATURE,BABM,Employed,,No disability,"Qualified primary school teachers, teaching at CDSS",self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Karonga,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Mangochi,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Kasungu,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,CHILADZULU,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Ntcheu,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Ntcheu,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Ntcheu,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Dedza,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,,0,Rumphi,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Karonga,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Mzimba,,MATURE,BEXT,Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Mzimba,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Lilongwe,,MATURE,BEXT,Employed,,Mental Health Condition,Person with disability,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Mzimba,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Nkhotakota,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,CHILADZULU,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Mzimba,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Balaka,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Ntcheu,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Mangochi,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Mangochi,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Zomba,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Ntcheu,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Dedza,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Mzimba,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Kasungu,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Ntcheu,,GENERIC,BABM,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Chitipa,,GENERIC,BABM,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Mangochi,,GENERIC,BABM,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,,0,Chitipa,,GENERIC,BAAE,Not Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,,0,Mchinji,,GENERIC,BAAE,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,CHILADZULU,,GENERIC,BAAE,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Chikwawa,,GENERIC,BAAE,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Mzimba,,GENERIC,BAAE,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,CHILADZULU,,GENERIC,BAAE,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,,0,CHILADZULU,,GENERIC,BAAE,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Mchinji,,GENERIC,BAAE,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Rumphi,,GENERIC,BAAE,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,,0,Mzimba,,GENERIC,BAAE,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Nkhotakota,,GENERIC,BAAE,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Mulanje,,GENERIC,BAAE,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Kasungu,,GENERIC,BAAE,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Dedza,,GENERIC,BAAE,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,,0,Nsanje,,GENERIC,BEXT,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Karonga,,GENERIC,BEXT,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Nkhotakota,,GENERIC,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,CHILADZULU,,GENERIC,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Dedza,,GENERIC,BEXT,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,,0,Machinga,,GENERIC,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Chikwawa,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Nsanje,,GENERIC,BEXT,Not Employed,,No disability,Orphans,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,,0,Dowa,,GENERIC,BAGI,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Mchinji,,GENERIC,BAGI,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Phalombe,,GENERIC,BAGI,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Chitipa,,MATURE,BAGI,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Machinga,,GENERIC,BAGI,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,,0,Mulanje,,MATURE,BABM,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Neno,,MATURE,BABM,Not Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Mzimba,,MATURE,BABM,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Mzimba,,MATURE,BABM,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Zomba,,MATURE,BAAE,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,,0,Mangochi,,MATURE,BAAE,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Karonga,,MATURE,BAAE,Not Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Dowa,,MATURE,BAAE,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Dowa,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Ntchisi,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Mzimba,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Kasungu,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Lilongwe,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Chikwawa,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Chikwawa,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Mangochi,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Chitipa,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Chitipa,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Mzimba,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Salima,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Mchinji,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Dedza,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,,0,Ntchisi,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Salima,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,,0,Balaka,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Lilongwe,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Lilongwe,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Balaka,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Zomba,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Zomba,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Thyolo,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Chikwawa,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,NKHATA-BAY,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Kasungu,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Nsanje,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Mchinji,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,,0,Lilongwe,,MATURE,BAGI,Not Employed,,Blind/Visual Impairment,Person with disability,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Mchinji,,GENERIC,BAAE,Self,,,,,,Not Dropped
No,No,SINGLE,,0,Balaka,,GENERIC,BAAE,Self,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,,0,Karonga,,GENERIC,BAAE,Self,,,,,,Not Dropped
No,No,SINGLE,,0,Mangochi,,GENERIC,BEXT,Self,,,,,,Not Dropped
No,No,SINGLE,,0,Zomba,,GENERIC,BAGI,Self,,,,,,Not Dropped
No,No,SINGLE,,0,Rumphi,,GENERIC,BEXT,Self,,,,,,Not Dropped
No,No,SINGLE,,0,Rumphi,,GENERIC,BEXT,Self,,,,,,Not Dropped
No,No,SINGLE,,0,NKHATA-BAY,,MATURE,BABM,Self,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Mulanje,,MATURE,BABM,Self,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Zomba,,MATURE,BABM,Self,,,,,,Not Dropped
No,No,SINGLE,,0,Lilongwe,,MATURE,BABM,Self,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Chitipa,,MATURE,BAAE,Self,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Ntchisi,,MATURE,BAAE,Self,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,,0,Mulanje,,MATURE,BEXT,Self,,,,,,Not Dropped
No,No,SINGLE,,0,Chitipa,,MATURE,BEXT,Self,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,,0,Mulanje,,MATURE,BEXT,Self,,,,,,Not Dropped
No,No,SINGLE,,0,Zomba,,MATURE,BEXT,Self,,,,,,Not Dropped
No,No,SINGLE,,0,Blantyre,,MATURE,BEXT,Self,,,,,,Not Dropped
No,No,SINGLE,,0,Mzimba,,MATURE,BEXT,Self,,,,,,Not Dropped
No,No,MARRIED,,0,Kasungu,,GENERIC,BABM,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,MARRIED,,0,Lilongwe,,GENERIC,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Mzimba,,GENERIC,BABM,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,MARRIED,,0,Mangochi,,GENERIC,BAAE,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Ntcheu,,GENERIC,BAAE,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Salima,,GENERIC,BEXT,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,MARRIED,,0,Salima,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Dowa,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Mzimba,,MATURE,BABM,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,,0,Mulanje,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Kasungu,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Mangochi,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,,0,Mangochi,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Nsanje,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Ntcheu,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,,0,Mzimba,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,,0,Mzimba,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,,0,Dowa,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,,0,Mulanje,,MATURE,BEXT,Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,MARRIED,,0,Chitipa,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Kasungu,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,,0,Zomba,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Dowa,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,MARRIED,,0,Zomba,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,,0,CHILADZULU,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Kasungu,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Mulanje,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Kasungu,,MATURE,BAGI,Employed,,No disability,Adolecent Girls & Young Women (AGYM),self,I stay within same district,Not Dropped
No,No,MARRIED,,0,Blantyre,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Nkhotakota,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Mzimba,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Dowa,,GENERIC,BABM,Not Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Kasungu,,GENERIC,BABM,Not Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Chikwawa,,GENERIC,BAAE,Not Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Dedza,,GENERIC,BEXT,Not Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Zomba,,MATURE,BAAE,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,MARRIED,,0,Ntcheu,,MATURE,BAAE,Not Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Mzimba,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,MARRIED,,0,Likoma,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,MARRIED,,0,Zomba,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,,,0,,,MATURE,BABM,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,,,0,,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,,,0,,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,,,0,,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,,,0,,,MATURE,BABM,Employed,,No disability,"Qualified primary school teachers, teaching at CDSS",self,I stay within same district,Not Dropped
No,No,,,0,,,MATURE,BAAE,Employed,,No disability,Orphans,self,I stay within same district,Not Dropped
No,No,,,0,,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,,,0,,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,,,0,,,MATURE,BAAE,Not Employed,,,,,,Not Dropped
No,No,,,0,,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,,,0,,,MATURE,BAAE,Not Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,,,0,,,MATURE,BEXT,Not Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,,,0,,,MATURE,BABM,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,,,0,,,GENERIC,BAAE,Not Employed,,,,,,Not Dropped
No,No,,,0,,,GENERIC,BEXT,Not Employed,,,,,,Not Dropped
No,No,,,0,,,GENERIC,BEXT,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,,,0,,,GENERIC,BAAE,Not Employed,,,,,,Not Dropped
Yes,No,SINGLE,M,32,ZOMBA,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
Yes,No,SINGLE,M,27,MACHINGA,,GENERIC,BAGI,Employed,BLANTYRE,,,,,Not Dropped
Yes,No,SINGLE,M,38,CHITIPA,,MATURE,BAGI,Employed,LILONGWE,,,,,Not Dropped
Yes,No,SINGLE,M,33,THYOLO,Christian,MATURE,BAAE,Employed,BLANTYRE,,,,,Not Dropped
Yes,No,SINGLE,M,30,ZOMBA,Christian,MATURE,BEXT,Employed,MZUZU,,,,,Not Dropped
Yes,No,SINGLE,M,23,THYOLO,,GENERIC,BAAE,Employed,LILONGWE,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Dropped
Yes,No,SINGLE,M,40,PHALOMBE,,MATURE,BAAE,Employed,BLANTYRE,,,,,Not Dropped
Yes,No,SINGLE,M,30,MULANJE,,MATURE,BAAE,Employed,,,,,,Not Dropped
Yes,No,SINGLE,M,28,KASUNGU,,MATURE,BAAE,Employed,,,,,,Not Dropped
Yes,No,SINGLE,M,30,KARONGA,,MATURE,BAGI,Employed,,,,,,Not Dropped
Yes,No,SINGLE,M,33,CHIKWAWA,,MATURE,BEXT,Employed,,,,,,Not Dropped
Yes,No,SINGLE,M,33,MULANJE,,MATURE,BEXT,Employed,,,,,,Not Dropped
Yes,No,SINGLE,M,29,KASUNGU,,MATURE,BAAE,Employed,LILONGWE,,,,,Not Dropped
Yes,No,SINGLE,M,24,MACHINGA,,MATURE,BAAE,Employed,BLANTYRE,,,,,Dropped
Yes,No,SINGLE,M,30,ZOMBA,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
Yes,No,SINGLE,M,35,KARONGA,,MATURE,BEXT,Employed,MZUZU,,,,,Not Dropped
Yes,No,SINGLE,M,33,KASUNGU,,MATURE,BABM,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Dropped
Yes,No,SINGLE,M,0,Ntchisi,,MATURE,BEXT,Employed,,,,,,Not Dropped
Yes,No,SINGLE,M,0,,,MATURE,BAAE,Employed,,,,,,Not Dropped
Yes,No,SINGLE,M,0,,,MATURE,BABM,Employed,,,,,,Not Dropped
Yes,No,SINGLE,M,0,Likoma,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Dropped
Yes,No,SINGLE,M,0,Lilongwe,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
Yes,No,SINGLE,M,0,Blantyre,,MATURE,BEXT,Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
Yes,No,SINGLE,M,0,Lilongwe,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
Yes,No,SINGLE,M,0,NSANJE,Christian,GENERIC,BABM,Not Employed,LILONGWE,,,,,Dropped
Yes,No,SINGLE,M,0,SALIMA,,GENERIC,BAAE,Not Employed,LILONGWE,,,,,Dropped
Yes,No,SINGLE,M,0,MZIMBA,,GENERIC,BEXT,Not Employed,LILONGWE,,,,,Dropped
Yes,No,SINGLE,M,0,KARONGA,Christian,GENERIC,BABM,Not Employed,BLANTYRE,,,,,Dropped
Yes,No,SINGLE,M,31,NKHATA-BAY,Christian,GENERIC,BAAE,Not Employed,BLANTYRE,,,,,Dropped
Yes,No,SINGLE,M,0,NKHOTAKOTA,Christian,GENERIC,BABM,Not Employed,LILONGWE,,,,,Dropped
Yes,No,SINGLE,M,31,MZIMBA,,GENERIC,BEXT,Not Employed,LILONGWE,,,,,Dropped
Yes,No,SINGLE,M,0,SALIMA,,MATURE,BEXT,Not Employed,LILONGWE,,,,,Dropped
Yes,No,SINGLE,M,0,LILONGWE,Christian,GENERIC,BAAE,Not Employed,LILONGWE,,,,,Dropped
Yes,No,SINGLE,M,0,RUMPHI,Christian,GENERIC,BAAE,Not Employed,LILONGWE,,,,,Dropped
Yes,No,SINGLE,M,0,PHALOMBE,Christian,GENERIC,BAAE,Not Employed,BLANTYRE,,,,,Dropped
Yes,No,SINGLE,M,0,CHILADZULU,Christian,GENERIC,BAAE,Not Employed,BLANTYRE,,,,,Dropped
Yes,No,SINGLE,M,0,PHALOMBE,,GENERIC,BAAE,Not Employed,BLANTYRE,,,,,Dropped
Yes,No,SINGLE,M,0,MZIMBA,,GENERIC,BEXT,Not Employed,LILONGWE,,,,,Dropped
Yes,No,SINGLE,M,0,CHITIPA,Christian,GENERIC,BAAE,Not Employed,MZUZU,,,,,Dropped
Yes,No,SINGLE,M,0,KASUNGU,Christian,GENERIC,BEXT,Not Employed,MZUZU,,,,,Dropped
